Parameter,Median,CI,CI_low,CI_high,Rhat,ESS_tail,ESS_bulk
"r_quadrat:trap[quadrat_086_trap_412,Intercept]",0.22,0.95,-0.48,0.90,1.001,7219.00,27001.00
"r_quadrat:trap[quadrat_086_trap_413,Intercept]",0.01,0.95,-0.68,0.70,1.001,6681.00,25974.00
"r_quadrat:trap[quadrat_087_trap_109,Intercept]",0.41,0.95,0.03,0.76,1.000,8649.00,6217.00
"r_quadrat:trap[quadrat_087_trap_110,Intercept]",0.47,0.95,0.02,0.90,1.000,7628.00,9459.00
"r_quadrat:trap[quadrat_087_trap_111,Intercept]",-0.11,0.95,-0.49,0.25,1.000,7565.00,7407.00
"r_quadrat:trap[quadrat_087_trap_139,Intercept]",0.21,0.95,-0.24,0.71,1.001,7235.00,11687.00
"r_quadrat:trap[quadrat_087_trap_409,Intercept]",-0.08,0.95,-0.66,0.54,1.000,7108.00,22751.00
"r_quadrat:trap[quadrat_087_trap_410,Intercept]",-0.01,0.95,-0.71,0.70,1.000,6844.00,29094.00
"r_quadrat:trap[quadrat_087_trap_411,Intercept]",0.12,0.95,-0.51,0.75,1.000,7469.00,24495.00
"r_quadrat:trap[quadrat_087_trap_439,Intercept]",-0.03,0.95,-0.73,0.70,1.000,7095.00,26596.00
"r_quadrat:trap[quadrat_088_trap_106,Intercept]",-0.23,0.95,-0.67,0.18,1.001,8020.00,16000.00
"r_quadrat:trap[quadrat_088_trap_107,Intercept]",-0.03,0.95,-0.41,0.35,1.000,8422.00,16258.00
"r_quadrat:trap[quadrat_088_trap_108,Intercept]",-0.28,0.95,-0.71,0.13,1.000,7570.00,15805.00
"r_quadrat:trap[quadrat_088_trap_138,Intercept]",-0.18,0.95,-0.56,0.20,1.000,8015.00,13125.00
"r_quadrat:trap[quadrat_088_trap_140,Intercept]",0.57,0.95,0.12,1.00,1.001,8539.00,17134.00
"r_quadrat:trap[quadrat_088_trap_406,Intercept]",-0.09,0.95,-0.86,0.60,1.001,6875.00,27912.00
"r_quadrat:trap[quadrat_088_trap_407,Intercept]",-0.12,0.95,-0.76,0.53,1.000,6806.00,28654.00
